 -92.  0.157232702 0.
 -91.  0.157232702 0.
 -90.  0. 0.157480314
 -89.  0. 0.157480314
 -88.  0. 0.157480314
 -87.  0. 0.157480314
 -86.  0. 0.157480314
 -85.  0. 0.
 -84.  0. 0.157480314
 -83.  0. 0.314960629
 -82.  0. 0.314960629
 -81.  0. 0.472440958
 -80.  0. 0.472440958
 -79.  0. 0.314960629
 -78.  0. 0.314960629
 -77.  0. 0.472440958
 -76.  0. 0.314960629
 -75.  0.157232702 0.472440958
 -74.  0.157232702 0.472440958
 -73.  0.157232702 0.314960629
 -72.  0.157232702 0.157480314
 -71.  0.157232702 0.157480314
 -70.  0. 0.
 -69.  0.157232702 0.
 -68.  0.157232702 0.
 -67.  0.157232702 0.
 -66.  0.157232702 0.157480314
 -65.  0.157232702 0.314960629
 -64.  0. 0.472440958
 -63.  0. 0.629921257
 -62.  0. 0.629921257
 -61.  0. 0.472440958
 -60.  0. 0.314960629
 -59.  0. 0.157480314
 -58.  0. 0.
 -57.  0. 0.
 -56.  0. 0.157480314
 -55.  0. 0.157480314
 -54.  0. 0.157480314
 -53.  0. 0.157480314
 -52.  0. 0.157480314
 -51.  0. 0.
 -50.  0.157232702 0.157480314
 -49.  0.157232702 0.157480314
 -48.  0.157232702 0.157480314
 -47.  0.157232702 0.157480314
 -46.  0.157232702 0.157480314
 -45.  0. 0.
 -44.  0. 0.
 -43.  0. 0.
 -42.  0. 0.
 -41.  0. 0.
 -40.  0. 0.
 -39.  0. 0.
 -38.  0. 0.157480314
 -37.  0. 0.157480314
 -36.  0. 0.157480314
 -35.  0. 0.157480314
 -34.  0. 0.157480314
 -33.  0. 0.
 -32.  0.157232702 0.
 -31.  0.314465404 0.
 -30.  0.314465404 0.
 -29.  0.314465404 0.157480314
 -28.  0.314465404 0.157480314
 -27.  0.157232702 0.314960629
 -26.  0. 0.314960629
 -25.  0. 0.314960629
 -24.  0. 0.157480314
 -23.  0. 0.157480314
 -22.  0. 0.
 -21.  0. 0.
 -20.  0. 0.
 -19.  0. 0.
 -18.  0. 0.
 -17.  0. 0.157480314
 -16.  0. 0.314960629
 -15.  0. 0.314960629
 -14.  0. 0.314960629
 -13.  0. 0.314960629
 -12.  0. 0.157480314
 -11.  0. 0.
 -10.  0. 0.
 -9.  0. 0.
 -8.  0. 0.
 -7.  0. 0.
 -6.  0. 0.
 -5.  0. 0.
 -4.  0. 0.
 -3.  0. 0.
 -2.  0. 0.
 -1.  0. 0.
  0.  0. 0.314960629
  1.  0. 0.314960629
  2.  0. 0.314960629
  3.  0. 0.472440958
  4.  0. 0.629921257
  5.  0. 0.472440958
  6.  0.471698105 0.472440958
  7.  0.471698105 0.629921257
  8.  1.41509438 0.472440958
  9.  1.41509438 0.314960629
  10.  1.72955966 0.157480314
  11.  1.57232714 0.157480314
  12.  2.35849071 0.
  13.  1.41509438 0.
  14.  1.41509438 0.
  15.  1.25786161 0.
  16.  0.943396211 0.
  17.  0.157232702 0.
  18.  0.786163568 0.
  19.  0.943396211 0.157480314
  20.  0.943396211 0.157480314
  21.  2.35849071 0.314960629
  22.  2.35849071 0.472440958
  23.  1.72955966 0.472440958
  24.  1.88679242 0.314960629
  25.  1.72955966 0.314960629
  26.  0.314465404 0.472440958
  27.  0.314465404 0.314960629
  28.  1.41509438 0.314960629
  29.  1.10062897 0.314960629
  30.  1.10062897 0.314960629
  31.  1.57232714 0.157480314
  32.  1.72955966 0.157480314
  33.  0.786163568 0.157480314
  34.  0.786163568 0.157480314
  35.  0.786163568 0.157480314
  36.  0.314465404 0.157480314
  37.  0.157232702 0.314960629
  38.  0. 0.472440958
  39.  0.314465404 0.472440958
  40.  0.314465404 0.629921257
  41.  0.471698105 0.472440958
  42.  0.471698105 0.314960629
  43.  0.628930807 0.314960629
  44.  0.314465404 0.314960629
  45.  0.314465404 0.157480314
  46.  0.157232702 0.157480314
  47.  0.157232702 0.314960629
  48.  0. 0.157480314
  49.  0. 0.157480314
  50.  0.157232702 0.157480314
  51.  0.157232702 0.157480314
  52.  0.157232702 0.
  53.  0.628930807 0.
  54.  0.628930807 0.157480314
  55.  0.628930807 0.157480314
  56.  0.786163568 0.157480314
  57.  0.786163568 0.157480314
  58.  0.314465404 0.157480314
  59.  0.314465404 0.
  60.  0.157232702 0.
  61.  0. 0.
  62.  0.157232702 0.
  63.  0.314465404 0.
  64.  0.314465404 0.
  65.  0.314465404 0.
  66.  0.471698105 0.
  67.  0.314465404 0.
  68.  0.157232702 0.
  69.  0.314465404 0.
  70.  0.314465404 0.157480314
  71.  0.157232702 0.157480314
  72.  0.157232702 0.314960629
  73.  0.314465404 0.314960629
  74.  0.157232702 0.314960629
  75.  0.157232702 0.314960629
  76.  0.314465404 0.314960629
  77.  0.314465404 0.314960629
  78.  0.157232702 0.314960629
  79.  0.157232702 0.314960629
  80.  0.157232702 0.157480314
  81.  0.157232702 0.157480314
  82.  0.157232702 0.157480314
  83.  0.157232702 0.157480314
  84.  0.314465404 0.157480314
  85.  0.314465404 0.157480314
  86.  0.157232702 0.157480314
  87.  0.157232702 0.
  88.  0.157232702 0.
  89.  0. 0.
  90.  0. 0.157480314
  91.  0.157232702 0.157480314
  92.  0.157232702 0.157480314
