 -92.  0.156571895 0.152457863
 -91.  0.156571895 0.148337379
 -90.  0.201895341 0.16481933
 -89.  0.222496927 0.18542172
 -88.  0.193654716 0.206024155
 -87.  0.210135967 0.226626575
 -86.  0.197775036 0.214265108
 -85.  0.201895341 0.18542172
 -84.  0.210135967 0.173060283
 -83.  0.234857857 0.156578347
 -82.  0.234857857 0.140096426
 -81.  0.267820358 0.16481933
 -80.  0.251339108 0.18542172
 -79.  0.230737537 0.193662703
 -78.  0.226617232 0.201903656
 -77.  0.210135967 0.214265108
 -76.  0.201895341 0.193662703
 -75.  0.238978162 0.16481933
 -74.  0.238978162 0.168939799
 -73.  0.218376592 0.181301251
 -72.  0.222496927 0.156578347
 -71.  0.243098468 0.16481933
 -70.  0.197775036 0.18542172
 -69.  0.197775036 0.210144624
 -68.  0.214256272 0.173060283
 -67.  0.210135967 0.173060283
 -66.  0.177173465 0.173060283
 -65.  0.177173465 0.168939799
 -64.  0.185414091 0.135975942
 -63.  0.16481252 0.148337379
 -62.  0.160692215 0.16481933
 -61.  0.156571895 0.173060283
 -60.  0.160692215 0.181301251
 -59.  0.14833127 0.181301251
 -58.  0.16893284 0.177180767
 -57.  0.173060283 0.16481933
 -56.  0.160698831 0.148337379
 -55.  0.156578347 0.131855458
 -54.  0.14421691 0.148337379
 -53.  0.140096426 0.148343489
 -52.  0.127734959 0.156584799
 -51.  0.135975942 0.16482611
 -50.  0.131855458 0.181308717
 -49.  0.135975942 0.177188069
 -48.  0.12361449 0.19367069
 -47.  0.127734959 0.168946758
 -46.  0.131855458 0.160705462
 -45.  0.135975942 0.140102193
 -44.  0.152457863 0.131860882
 -43.  0.148337379 0.131860882
 -42.  0.148337379 0.123619579
 -41.  0.14833127 0.123619579
 -40.  0.140090644 0.144222841
 -39.  0.123609394 0.13598153
 -38.  0.135970339 0.131860882
 -37.  0.135970339 0.177180767
 -36.  0.127729699 0.177180767
 -35.  0.131850019 0.177180767
 -34.  0.131850019 0.181301251
 -33.  0.119489081 0.177180767
 -32.  0.111248463 0.177180767
 -31.  0.115368769 0.168939799
